memo;descricao;Precisa descrição;grupo;categoria;subcategoria;tipo_fluxo;observacao
DÉB. PAGAMENTO DE BOLETO INTERCREDIS;PROAGIR;;;;;;
DÉB.TIT.COMPE EFETIVADO;FOMENTO;;;;;;
DÉB.TIT.COMPE EFETIVADO;ATM;;;;;;
DÉB.TIT.COMPE EFETIVADO;HUMANA SAUDE;;;;;;
DÉB.TIT. COBRANÇA EFETIVADO;JUNSOFT;;;;;;
DÉB.TIT. COBRANÇA EFETIVADO;INAB;;;;;;
DÉB.TIT. COBRANÇA EFETIVADO;QUIMITOL;;;;;;
COMPRA VISA ELECTRON;PASIANOT ZANATTO LTDA TOLEDO BR;;Compra;Cartão débito;;;
PGTOS - CHEQUE PRÓPRIA COOP/AG;PGTOS - CHEQUE PRÓPRIA COOP/AG;;;;;;
DÉB.TRANSF.CONTAS DIF.TITULARIDADE;FAV.: PASIANOT ZANATTO LTDA;;;;;;
DÉB.TIT.COMPE EFETIVADO;Polina;;;;;;
CR COMPRAS CRE OUTRAS BANDEIRAS;Credenciador C_Cred._CABAL PRE;Sim;Cartão;Crédito CABAL;;;
CR COMPRAS DEB OUTRAS BANDEIRAS;SIPAG_Deb._Elo Débito;Sim;Cartão;Débito SIPAG;;;
COMPRA VISA ELECTRON;MAX TOLEDO CAMBE BR;Sim;;;;;
CRED.TRANSF.CONTAS INTERCREDIS;REM.: LUIZ FELIPE AMARAL CAMPANA;Sim;Recebimento clientes;;;;
DÉB. PAGAMENTO DE BOLETO INTERCREDIS;Bolcartdy;Sim;;;;;
DÉB.TIT.COMPE EFETIVADO;SOS;;;;;;
DÉB. PAGAMENTO DE BOLETO INTERCREDIS;Vale alimentação;;;;;;
DÉB.TIT.COMPE EFETIVADO;DON GIUSEPPE;;;;;;
DÉB.TIT.COMPE EFETIVADO;HALTON;;;;;;
DÉB.TIT.COMPE EFETIVADO;VIABILIZE;;;;;;
DÉB.TIT. COBRANÇA EFETIVADO;AZZ Agência;Sim;Despesas;Fornecedores;;;
DÉB.TIT.COMPE EFETIVADO;Gas;;;;;;
DÉB.TIT. COBRANÇA EFETIVADO;Fundo Reserva;;;;;;
CRED.TRANSF.CONTAS INTERCREDIS;REM.: MAYKON SANTIAGO ALMEIDA PO;;Recebimento clientes;;;;
DÉB.TRANSF.CONTAS DIF.TIT. INTERCREDIS;FAV.: SICOOB INSTITUICAO DE PAGA;;;;;;
DÉB.CONV.ORGÃOS GOV.;DIFAL IMPOSTO;;;;;;
DÉB.TIT.COMPE EFETIVADO;Dalia;;;;;;
DÉB.TIT. COBRANÇA EFETIVADO;Bolatlpiscpartdi;;;;;;
DÉB.CONV.SANEAMENTO;DÉB.CONV.SANEAMENTO;Sim;Despesas;Convênio;;;
CRED.TRANSF.CONTAS INTERCREDIS;REM.: MATEUS BORGES DA SILVA Tra;;Recebimento clientes;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
